run,epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50-95(B)
train,1,1.3417,3.5419,1.2508,0.0,0.0,0.0
train,10,0.57193,0.85961,0.86797,0.0,0.0,0.0
train,20,0.43655,0.69309,0.84075,0.5,0.04412,0.27205
train,30,0.41192,0.56971,0.84254,0.5,0.5,0.4935
train,40,0.3559,0.46881,0.81698,1.0,0.875,0.73152
train,50,0.32427,0.42883,0.81261,1.0,0.875,0.71507
train,60,0.28121,0.38702,0.81909,1.0,0.79167,0.76953
train,70,0.27997,0.37746,0.79599,1.0,0.875,0.81417
train,80,0.24744,0.35717,0.79518,1.0,0.75,0.73277
train,90,0.21458,0.32088,0.7992,1.0,0.875,0.79404
train,100,0.13566,0.32446,0.76523,1.0,0.875,0.78752
train10,1,1.2109,3.8322,0.95219,0.378,0.3642,0.20421
train10,10,0.66418,0.45035,0.8284,0.92398,0.86188,0.67816
train10,20,0.57486,0.37387,0.81398,0.96355,0.82081,0.70846
train10,30,0.52967,0.33727,0.80455,0.96001,0.87129,0.73095
train10,40,0.47189,0.30097,0.80113,0.97158,0.86072,0.74711
train10,50,0.45193,0.28236,0.7955,0.98131,0.87225,0.77044
train10,60,0.42241,0.26284,0.79432,0.96592,0.8815,0.76547
train10,70,0.41462,0.2553,0.79221,0.98535,0.86314,0.77237
train10,80,0.38303,0.238,0.78838,0.9792,0.89262,0.78364
train10,90,0.36003,0.22209,0.78423,0.98367,0.88105,0.78848
train10,100,0.30149,0.19064,0.77489,0.98532,0.87214,0.78504
train11,1,1.0788,1.9975,0.93894,0.414,0.43214,0.22268
train11,10,0.66961,0.43699,0.84238,0.91843,0.84174,0.69652
train11,20,0.55553,0.34401,0.82064,0.96531,0.83674,0.72806
train11,30,0.51241,0.31544,0.81538,0.95954,0.84294,0.74285
train11,40,0.45212,0.27031,0.8043,0.97474,0.85034,0.76058
train11,50,0.41667,0.25033,0.7956,0.97546,0.8428,0.76041
train11,60,0.39602,0.23886,0.79508,0.9676,0.89155,0.79045
train11,70,0.38179,0.22383,0.79042,0.98459,0.89169,0.78804
train11,80,0.34415,0.20438,0.79017,0.97975,0.88073,0.79992
train11,90,0.329,0.19063,0.78716,0.98311,0.8843,0.79849
train11,100,0.27234,0.16161,0.77665,0.9776,0.8826,0.80194
train12,1,1.4151,2.779,0.95434,0.1,0.00363,0.04531
train12,10,0.79866,0.54551,0.84264,0.84927,0.77506,0.61669
train12,20,0.69558,0.43831,0.82707,0.92401,0.75981,0.66779
train12,30,0.63609,0.39438,0.81983,0.93937,0.81956,0.69195
train12,40,0.59569,0.36336,0.81413,0.9261,0.82372,0.70829
train12,50,0.56347,0.34168,0.81104,0.93771,0.84501,0.72916
train12,60,0.5482,0.33118,0.80599,0.95029,0.8541,0.7372
train12,70,0.52112,0.31304,0.80373,0.97069,0.84948,0.7387
train12,80,0.51034,0.30724,0.80217,0.97826,0.8461,0.74941
train12,90,0.48319,0.29149,0.7999,0.9476,0.86797,0.75472
train12,100,0.40766,0.25602,0.78764,0.97622,0.85493,0.7667
train,1,1.1911,2.3322,0.92934,0.57096,0.425,0.36715
train,10,0.68133,0.40519,0.82688,0.93623,0.83508,0.69437
train,20,0.61144,0.35084,0.81401,0.94415,0.87444,0.73858
train,30,0.51986,0.30856,0.80468,0.96786,0.86879,0.75326
train,40,0.50342,0.2965,0.80035,0.95189,0.88628,0.74753
train,50,0.45927,0.2714,0.79614,0.97254,0.88517,0.76947
train,60,0.43328,0.25452,0.79301,0.96084,0.86432,0.7786
train,70,0.4138,0.24238,0.79003,0.96975,0.88804,0.78542
train,80,0.40004,0.23299,0.78869,0.99181,0.87947,0.78098
train,90,0.37378,0.21862,0.78644,0.97768,0.8884,0.80282
train,100,0.3065,0.18938,0.77501,0.9782,0.88171,0.79949
train2,1,3.3391,10.228,1.6021,0.0,0.0,0.0
train2,10,1.2817,1.1285,0.87034,0.48642,0.4212,0.308
train2,20,1.0136,0.63324,0.83869,0.49071,0.46635,0.36096
train2,30,0.92515,0.61877,0.82934,0.49526,0.45346,0.39731
train2,40,0.87025,0.49437,0.82162,0.49123,0.46657,0.36431
train2,50,0.80086,0.44324,0.80596,0.48927,0.46959,0.41201
train2,60,0.79,0.44452,0.81795,0.48785,0.47967,0.40732
train2,70,0.73367,0.4072,0.8104,0.48974,0.47161,0.38685
train2,80,0.66987,0.3933,0.78906,0.46546,0.47967,0.41788
train2,90,0.58029,0.34436,0.79119,0.46435,0.47463,0.40818
train2,100,0.52366,0.33567,0.74585,0.49265,0.47765,0.41766
train3,1,2.9076,8.5202,1.3453,0.0,0.0,0.0
train3,10,1.1237,0.81758,0.83918,0.39888,0.42552,0.27862
train3,20,0.96757,0.56035,0.81715,0.48802,0.44284,0.38684
train3,30,0.92655,0.50269,0.80919,0.49093,0.40726,0.33136
train3,40,0.79741,0.44486,0.79458,0.4924,0.43477,0.3815
train3,50,0.74705,0.41636,0.79537,0.48661,0.43316,0.3688
train3,60,0.70002,0.38931,0.79636,0.49518,0.416,0.38056
train3,70,0.6628,0.37127,0.79248,0.48901,0.42079,0.36437
train3,80,0.61448,0.34509,0.78438,0.49531,0.41353,0.39652
train3,90,0.59228,0.3279,0.78849,0.47536,0.43638,0.39313
train3,100,0.50806,0.3023,0.78164,0.49117,0.42456,0.41333
train4,1,3.8608,14.339,1.6955,0.0,0.0,0.0
train4,10,1.3748,1.5596,0.8582,0.48148,0.28386,0.25404
train4,20,1.14,0.8,0.83869,0.49362,0.44799,0.26209
train4,30,1.0573,0.64954,0.8235,0.46912,0.42747,0.31054
train4,40,0.96471,0.55885,0.81084,0.49095,0.43821,0.3454
train4,50,0.89911,0.51302,0.81155,0.48913,0.43169,0.3412
train4,60,0.82673,0.4634,0.80472,0.48816,0.43712,0.38301
train4,70,0.755,0.438,0.79912,0.4884,0.44147,0.35593
train4,80,0.70476,0.41115,0.78684,0.48974,0.44365,0.38081
train4,90,0.6603,0.38696,0.79755,0.48718,0.44147,0.41514
train4,100,0.59044,0.35839,0.79727,0.48969,0.44256,0.40996
train5,1,2.9969,9.4745,1.3444,0.0,0.0,0.0
train5,10,1.3814,1.4957,0.86132,0.90248,0.54464,0.43675
train5,20,1.1261,0.85288,0.84712,0.87514,0.64773,0.53667
train5,30,1.0315,0.67461,0.82207,0.94058,0.72191,0.57658
train5,40,0.94991,0.5908,0.8117,0.9063,0.70822,0.60042
train5,50,0.8915,0.52092,0.81188,0.99668,0.71694,0.59025
train5,60,0.87793,0.49773,0.80337,0.95771,0.69957,0.62121
train5,70,0.82721,0.46557,0.80699,0.92522,0.70222,0.61684
train5,80,0.77157,0.4405,0.80666,0.96574,0.73068,0.64987
train5,90,0.71035,0.40579,0.79849,0.97648,0.72766,0.66082
train5,100,0.65414,0.38609,0.79262,0.9367,0.72794,0.65435
train6,1,2.6032,7.3644,1.4371,0.0,0.0,0.0
train6,10,1.562,1.8993,0.92973,0.25,0.04377,0.09792
train6,20,1.3923,1.1811,0.92325,0.77976,0.58632,0.4338
train6,30,1.2348,0.90222,0.87975,0.82682,0.66409,0.4783
train6,40,1.1754,0.81534,0.87007,0.8165,0.70035,0.51652
train6,50,1.1425,0.73087,0.86514,0.83523,0.71316,0.57118
train6,60,1.0842,0.67042,0.85998,0.83271,0.72347,0.55874
train6,70,1.0746,0.64992,0.86093,0.82436,0.75619,0.55248
train6,80,0.94499,0.56731,0.83337,0.82741,0.76493,0.59369
train6,90,0.93865,0.56011,0.83485,0.85128,0.76069,0.55976
train6,100,0.8767,0.54052,0.82753,0.85525,0.79553,0.5987
train7,1,1.5012,3.9265,0.96537,0.0,0.0,0.0
train7,10,0.87274,0.75354,0.84701,0.93268,0.71453,0.6161
train7,20,0.74315,0.56142,0.8251,0.96206,0.83396,0.67304
train7,30,0.71482,0.4879,0.82177,0.91228,0.81547,0.68366
train7,40,0.6561,0.43796,0.81428,0.95564,0.83663,0.70993
train7,50,0.60661,0.39301,0.80814,0.96805,0.83947,0.70296
train7,60,0.55831,0.36357,0.80187,0.96026,0.85405,0.74561
train7,70,0.54709,0.34373,0.80179,0.97291,0.86006,0.73874
train7,80,0.51098,0.3219,0.79534,0.96985,0.86225,0.74684
train7,90,0.48698,0.30863,0.7947,0.9713,0.86289,0.75869
